S.no.,user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions,textblob_polarity,nltk_compound,avg_sentiment,textblob_sentiment,nltk_sentiment,priority
403,838,838,cmsinghhp,"New Delhi, India",128,65,2022-11-08 06:59:48+00:00,5409,0,respected position poor mindset decision building criminal confidence high commit crime society know nothing happen crime,[],"[{'screen_name': 'AshwiniUpadhyay', 'name': 'Ashwini Upadhyay ‡§Ö‡§∂‡•ç‡§µ‡§ø‡§®‡•Ä ‡§â‡§™‡§æ‡§ß‡•ç‡§Ø‡§æ‡§Ø', 'id': 1549631191, 'id_str': '1549631191', 'indices': [0, 16]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [17, 30]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [31, 40]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [41, 50]}, {'screen_name': 'HMOIndia', 'name': '‡§ó‡•É‡§π‡§Æ‡§Ç‡§§‡•ç‡§∞‡•Ä ‡§ï‡§æ‡§∞‡•ç‡§Ø‡§æ‡§≤‡§Ø, HMO India', 'id': 2541363451, 'id_str': '2541363451', 'indices': [51, 60]}, {'screen_name': 'KirenRijiju', 'name': 'Kiren Rijiju', 'id': 3241214268, 'id_str': '3241214268', 'indices': [61, 73]}, {'screen_name': 'smritiirani', 'name': 'Smriti Z Irani', 'id': 130104041, 'id_str': '130104041', 'indices': [74, 86]}, {'screen_name': 'rajnathsingh', 'name': 'Rajnath Singh', 'id': 1346439824, 'id_str': '1346439824', 'indices': [87, 100]}, {'screen_name': 'nitin_gadkari', 'name': 'Nitin Gadkari', 'id': 97217966, 'id_str': '97217966', 'indices': [101, 115]}, {'screen_name': 'girirajsinghbjp', 'name': 'Shandilya Giriraj Singh', 'id': 1642669674, 'id_str': '1642669674', 'indices': [116, 132]}, {'screen_name': 'ArunKumRSS', 'name': 'Arun Kumar', 'id': 1135086137309982720, 'id_str': '1135086137309982720', 'indices': [133, 144]}, {'screen_name': 'KGopalRSS', 'name': 'Krishna Gopal', 'id': 1135082720416002050, 'id_str': '1135082720416002050', 'indices': [145, 155]}, {'screen_name': 'DrMohanBhagwat', 'name': 'Mohan Bhagwat', 'id': 1127906922416316416, 'id_str': '1127906922416316416', 'indices': [156, 171]}]",-0.2133333,-0.7096,-1,-1,-1,0
409,845,845,Ranjitsasmall,"Hyderabad, India",265,38,2022-11-08 06:51:11+00:00,339,0,year ago hard step placed since indian economy growth incapable master stroke sir,"[{'text': 'demonitization', 'indices': [131, 146]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [114, 127]}]",-0.2916667,-0.1027,-1,-1,-1,0
412,851,851,sonamon09,"Bengaluru, India",77,61,2022-11-08 06:42:15+00:00,51,1,sending multiple email tweet still response seva kendra sheer harassment get renewed passport need passport urgent basis nothing pending end file cac,[],"[{'screen_name': 'passportsevamea', 'name': 'PassportSeva Support', 'id': 4777777381, 'id_str': '4777777381', 'indices': [0, 16]}, {'screen_name': 'rpokolkata', 'name': 'RPO Kolkata', 'id': 3071254626, 'id_str': '3071254626', 'indices': [17, 28]}, {'screen_name': 'MEAIndia', 'name': 'Arindam Bagchi', 'id': 441636351, 'id_str': '441636351', 'indices': [29, 38]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [39, 48]}]",0,-0.4019,-1,0,-1,1
414,853,853,Chakrabarti27,"Kolkata,India",240,157,2022-11-08 06:37:08+00:00,891,1,pic hutchinson say right mass mass present opacity cannot locate one help plz,"[{'text': 'MedTwitter', 'indices': [119, 130]}]",[],0.14285714,-0.2401,-1,1,-1,1
416,861,861,neerbajpai,"Chhatarpur, India",247,115,2022-11-08 06:22:36+00:00,583,0,indian rail always late ambedkar nagar pryaagraj train late indore,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}]",-0.3,0,-1,-1,0,1
418,863,863,uradehanu,"Mancherial-Naspur, India",340,133,2022-11-08 06:19:41+00:00,1212,0,bahujana child sura ranjit kumar neglecting government,[],"[{'screen_name': 'RSPraveenSwaero', 'name': 'Dr.RS Praveen Kumar', 'id': 3318942674, 'id_str': '3318942674', 'indices': [67, 83]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [84, 97]}, {'screen_name': 'DrTamilisaiGuv', 'name': 'Dr Tamilisai Soundararajan', 'id': 236457592, 'id_str': '236457592', 'indices': [98, 113]}, {'screen_name': 'TelanganaDGP', 'name': 'DGP TELANGANA POLICE', 'id': 4832563445, 'id_str': '4832563445', 'indices': [114, 127]}, {'screen_name': 'ramjigautambsp', 'name': 'Er.Ramji Gautam MP Rajya Sabha', 'id': 2543332854, 'id_str': '2543332854', 'indices': [128, 143]}]",0,-0.4019,-1,0,-1,0
422,872,872,kunaljoshi101,"‡§Æ‡•Å‡§Ç‡§¨‡§à, ‡§≠‡§æ‡§∞‡§§",14,3,2022-11-08 06:10:49+00:00,57,0,facing lot problem borivali without local train,[],"[{'screen_name': 'Amarbjym', 'name': 'Amar Shah', 'id': 871867794870108164, 'id_str': '871867794870108164', 'indices': [0, 9]}, {'screen_name': 'iGopalShetty', 'name': 'Gopal Shetty', 'id': 2377965971, 'id_str': '2377965971', 'indices': [10, 23]}, {'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [24, 37]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [38, 54]}, {'screen_name': 'raosahebdanve', 'name': 'Raosaheb Patil Danve', 'id': 2609425938, 'id_str': '2609425938', 'indices': [55, 69]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [70, 83]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [84, 93]}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': 2990611686, 'id_str': '2990611686', 'indices': [94, 102]}, {'screen_name': 'Tejasvi_Surya', 'name': 'Tejasvi Surya', 'id': 390677061, 'id_str': '390677061', 'indices': [103, 117]}, {'screen_name': 'BhatkhalkarA', 'name': 'Atul Bhatkhalkar', 'id': 726417797048373248, 'id_str': '726417797048373248', 'indices': [118, 131]}, {'screen_name': 'mipravindarekar', 'name': 'Pravin Darekar - ‡§™‡•ç‡§∞‡§µ‡§ø‡§£ ‡§¶‡§∞‡•á‡§ï‡§∞', 'id': 1200413787053903873, 'id_str': '1200413787053903873', 'indices': [132, 148]}, {'screen_name': 'Dev_Fadnavis', 'name': 'Devendra Fadnavis', 'id': 137780376, 'id_str': '137780376', 'indices': [149, 162]}, {'screen_name': 'Yogeshsagar09', 'name': 'Yogesh Sagar', 'id': 951194041, 'id_str': '951194041', 'indices': [163, 177]}, {'screen_name': 'manishaBJP', 'name': 'Manisha Chaudhary', 'id': 774517790715748353, 'id_str': '774517790715748353', 'indices': [178, 189]}, {'screen_name': 'MPLodha', 'name': 'Mangal Prabhat Lodha', 'id': 1479387656, 'id_str': '1479387656', 'indices': [190, 198]}]",0,-0.4019,-1,0,-1,1
424,875,875,kappa1929,"Hyderguda, Hyderabad",130,28,2022-11-08 06:03:22+00:00,119,0,petrol station guy saying price compared hyd due transportation fare,[],"[{'screen_name': 'vishumula', 'name': 'VISHWANATH MULA', 'id': 1512047178495434759, 'id_str': '1512047178495434759', 'indices': [0, 10]}, {'screen_name': 'KTRTRS', 'name': 'KTR', 'id': 118787224, 'id_str': '118787224', 'indices': [11, 18]}, {'screen_name': 'IndianOilcl', 'name': 'Indian Oil Corp Ltd', 'id': 2597794454, 'id_str': '2597794454', 'indices': [109, 121]}, {'screen_name': 'IndianOil_Highw', 'name': 'IndianOil_Highway', 'id': 994452529298706432, 'id_str': '994452529298706432', 'indices': [122, 138]}, {'screen_name': 'DirHR_iocl', 'name': 'Director (HR), IndianOil', 'id': 1080033842642239488, 'id_str': '1080033842642239488', 'indices': [139, 150]}, {'screen_name': 'PetroleumMin', 'name': 'Ministry of Petroleum and Natural Gas', 'id': 2583583465, 'id_str': '2583583465', 'indices': [151, 164]}, {'screen_name': 'KTRTRS', 'name': 'KTR', 'id': 118787224, 'id_str': '118787224', 'indices': [165, 172]}, {'screen_name': 'TelanganaCMO', 'name': 'Telangana CMO', 'id': 2558684335, 'id_str': '2558684335', 'indices': [173, 186]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [187, 200]}, {'screen_name': 'MinisterKTR', 'name': 'Minister for IT, Industries, MA & UD, Telangana', 'id': 2550018541, 'id_str': '2550018541', 'indices': [201, 213]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [214, 224]}, {'screen_name': 'BJP4Telangana', 'name': 'BJP Telangana', 'id': 758217523506667520, 'id_str': '758217523506667520', 'indices': [225, 239]}, {'screen_name': 'BJPITCellTS', 'name': 'BJP IT Cell Telangana', 'id': 1265200268284588034, 'id_str': '1265200268284588034', 'indices': [240, 252]}]",-0.125,0,-1,-1,0,1
428,882,882,jitende05,Delhi,560,202,2022-11-08 05:50:33+00:00,5350,0,case study bad civil engineer landed bridge jalebi kind road,[],"[{'screen_name': 'FaridabadTv', 'name': 'Faridabad_Darshan_News', 'id': 1503323774002753536, 'id_str': '1503323774002753536', 'indices': [0, 12]}, {'screen_name': 'UPGovt', 'name': 'Government of UP', 'id': 2588841246, 'id_str': '2588841246', 'indices': [13, 20]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [21, 36]}, {'screen_name': 'cmohry', 'name': 'CMO Haryana', 'id': 2919390704, 'id_str': '2919390704', 'indices': [37, 44]}, {'screen_name': 'nitin_gadkari', 'name': 'Nitin Gadkari', 'id': 97217966, 'id_str': '97217966', 'indices': [45, 59]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [60, 69]}]",-0.05,-0.0258,-1,-1,-1,0
430,886,886,PranavA56968314,j-47 L.G.F LajpatNagar3,5004,805,2022-11-08 05:44:37+00:00,67152,1,want duplicate role madrasis amit mohit tarachand harpreet ghura jailed virender singh kunal interfares transfer took,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'Lawleshjsr', 'name': 'Lawlesh Kumar Singh', 'id': 778460415189618688, 'id_str': '778460415189618688', 'indices': [14, 25]}]",0,-0.4404,-1,0,-1,0
433,889,889,RahulSalgaonka6,,680,90,2022-11-08 05:40:02+00:00,28,0,sine last one year credited account last month trying name correction uan account got worst govt service worst employee worst online portal worst grivenc resolution overall worst organization,[],"[{'screen_name': 'socialepfo', 'name': 'EPFO', 'id': 4574875278, 'id_str': '4574875278', 'indices': [0, 11]}, {'screen_name': 'AmritMahotsav', 'name': 'Amrit Mahotsav', 'id': 1371389369274146818, 'id_str': '1371389369274146818', 'indices': [12, 26]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [27, 36]}, {'screen_name': 'byadavbjp', 'name': 'Bhupender Yadav', 'id': 391901721, 'id_str': '391901721', 'indices': [37, 47]}, {'screen_name': 'Rameswar_Teli', 'name': 'Rameswar Teli', 'id': 1135483099712610304, 'id_str': '1135483099712610304', 'indices': [48, 62]}, {'screen_name': 'LabourMinistry', 'name': 'Ministry of Labour', 'id': 3060070478, 'id_str': '3060070478', 'indices': [63, 78]}, {'screen_name': 'PIBHindi', 'name': '‡§™‡•Ä‡§Ü‡§à‡§¨‡•Ä ‡§π‡§ø‡§Ç‡§¶‡•Ä', 'id': 3000838099, 'id_str': '3000838099', 'indices': [79, 88]}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': 231033118, 'id_str': '231033118', 'indices': [89, 99]}, {'screen_name': 'MIB_India', 'name': 'Ministry of Information and Broadcasting', 'id': 920488039, 'id_str': '920488039', 'indices': [100, 110]}, {'screen_name': 'PTI_News', 'name': 'Press Trust of India', 'id': 245687754, 'id_str': '245687754', 'indices': [111, 120]}, {'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [121, 132]}, {'screen_name': 'airnewsalerts', 'name': 'All India Radio News', 'id': 1056850669, 'id_str': '1056850669', 'indices': [133, 147]}]",-0.625,-0.9638,-1,-1,-1,1
434,890,890,amarprasadreddy,India,1527,89895,2022-11-08 05:39:59+00:00,44092,142,carry burden past madness future live present,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [101, 114]}]",-0.0284091,-0.7003,-1,-1,-1,0
435,891,891,bhattyacharje,,64,11,2022-11-08 05:35:06+00:00,7362,0,sorry inform jorasako haritage bhawan rabindranath tagore photo queen thief replaced rabindranath tagore photo shame please look take corrective action immediately,[],"[{'screen_name': 'BanglarGorboMB', 'name': 'Banglar Gorbo Mamata', 'id': 1144646272084611072, 'id_str': '1144646272084611072', 'indices': [0, 15]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [169, 178]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [179, 192]}, {'screen_name': 'SuvenduWB', 'name': 'Suvendu Adhikari ‚Ä¢ ‡¶∂‡ßÅ‡¶≠‡ßá‡¶®‡ßç‡¶¶‡ßÅ ‡¶Ö‡¶ß‡¶ø‡¶ï‡¶æ‡¶∞‡ßÄ', 'id': 1340509422582333442, 'id_str': '1340509422582333442', 'indices': [193, 203]}]",-0.2,-0.6705,-1,-1,-1,1
441,902,902,RD132,Hoshangabad ,149,49,2022-11-08 05:19:09+00:00,5244,0,year ago case pending till poor postage system poor service,[],"[{'screen_name': 'pmg_varanasi', 'name': 'Varanasi Postal Region', 'id': 856565369267298304, 'id_str': '856565369267298304', 'indices': [0, 13]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [14, 30]}, {'screen_name': 'devusinh', 'name': 'Devusinh Chauhan', 'id': 591850159, 'id_str': '591850159', 'indices': [31, 40]}, {'screen_name': 'IndiaPostOffice', 'name': 'India Post', 'id': 2579558348, 'id_str': '2579558348', 'indices': [41, 57]}, {'screen_name': 'AmritMahotsav', 'name': 'Amrit Mahotsav', 'id': 1371389369274146818, 'id_str': '1371389369274146818', 'indices': [58, 72]}, {'screen_name': 'kkyadava', 'name': 'Krishna Kumar Yadav,IPoS', 'id': 63241691, 'id_str': '63241691', 'indices': [73, 82]}, {'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [83, 94]}, {'screen_name': 'MinOfCultureGoI', 'name': 'Ministry of Culture', 'id': 2673476378, 'id_str': '2673476378', 'indices': [95, 111]}, {'screen_name': 'ShriVishwanath', 'name': 'Shri Kashi Vishwanath Temple Trust', 'id': 993061543360192512, 'id_str': '993061543360192512', 'indices': [112, 127]}, {'screen_name': 'cleanganganmcg', 'name': 'Namami Gange', 'id': 2765844745, 'id_str': '2765844745', 'indices': [128, 143]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [227, 243]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [244, 253]}]",-0.4,-0.7351,-1,-1,-1,1
445,915,915,AaryanDwivedi30,,58,53,2022-11-08 05:02:42+00:00,210,0,failed deliver justice lacuna law high time government india ponder issue,"[{'text': 'SupremeCourt', 'indices': [129, 142]}, {'text': 'rape', 'indices': [144, 149]}, {'text': 'KiranNegi', 'indices': [151, 161]}]","[{'screen_name': 'KirenRijiju', 'name': 'Kiren Rijiju', 'id': 3241214268, 'id_str': '3241214268', 'indices': [163, 175]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [179, 188]}, {'screen_name': 'MLJ_GoI', 'name': 'Ministry of Law and Justice', 'id': 931101273708904448, 'id_str': '931101273708904448', 'indices': [192, 200]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [201, 214]}]",-0.17,0.0258,-1,-1,1,1
449,919,919,stray_helpers,"Chinhat Lucknow, Lucknow",32,68,2022-11-08 04:55:46+00:00,812,0,delivery boy raped street dog heera panna mall medium,"[{'text': 'mumbai', 'indices': [43, 50]}, {'text': 'rip', 'indices': [176, 180]}, {'text': 'humanity', 'indices': [181, 190]}]","[{'screen_name': 'Swiggy', 'name': 'Swiggy', 'id': 2639625036, 'id_str': '2639625036', 'indices': [2, 9]}, {'screen_name': 'peta', 'name': 'PETA', 'id': 9890492, 'id_str': '9890492', 'indices': [89, 94]}, {'screen_name': 'PetaIndia', 'name': 'PETA India', 'id': 49551150, 'id_str': '49551150', 'indices': [95, 105]}, {'screen_name': 'PETAUK', 'name': 'PETA UK', 'id': 357584312, 'id_str': '357584312', 'indices': [106, 113]}, {'screen_name': 'thePSCI', 'name': 'PETA Science Consortium International', 'id': 2584403244, 'id_str': '2584403244', 'indices': [114, 122]}, {'screen_name': 'MTPHereToHelp', 'name': 'Mumbai Traffic Police', 'id': 1510128164978118657, 'id_str': '1510128164978118657', 'indices': [123, 137]}, {'screen_name': 'MumbaiPolice', 'name': '‡§Æ‡•Å‡§Ç‡§¨‡§à ‡§™‡•ã‡§≤‡•Ä‡§∏ - Mumbai Police', 'id': 4573405572, 'id_str': '4573405572', 'indices': [138, 151]}, {'screen_name': 'mipaltan', 'name': 'Mumbai Indians', 'id': 106345557, 'id_str': '106345557', 'indices': [152, 161]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [162, 175]}, {'screen_name': 'jeevaashraya', 'name': 'ùóùùó≤ùó≤ùòÉ ùóîùóÆùòÄùóµùóøùóÆùòÜùóÆ', 'id': 1157541200804503552, 'id_str': '1157541200804503552', 'indices': [191, 204]}]",0,-0.6808,-1,0,-1,1
458,933,933,sabupeters,"Kollam, India",999,874,2022-11-08 04:36:46+00:00,34824,0,nothing shake people faith alcohol money,[],"[{'screen_name': 'khushsundar', 'name': 'KhushbuSundar', 'id': 122959195, 'id_str': '122959195', 'indices': [0, 12]}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': 3171712086, 'id_str': '3171712086', 'indices': [13, 25]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [26, 39]}]",0,-0.2057,-1,0,-1,0
461,936,936,helplineexpress,,79,3,2022-11-08 04:33:32+00:00,73,0,train running late getting status train late train working cleaning entire train coach toilet bad condition coach dirty,[],"[{'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [0, 13]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [14, 30]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [31, 40]}]",-0.3222222,-0.7506,-1,-1,-1,1
462,937,937,ashok_aron,,192,24,2022-11-08 04:30:55+00:00,167,0,dear sir please take attention difficult parent bear escape today taking benefit doubt encourage rape society country expects lot,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [14, 23]}, {'screen_name': 'rashtrapatibhvn', 'name': 'President of India', 'id': 885487044243238912, 'id_str': '885487044243238912', 'indices': [24, 40]}]",-0.5,0.296,-1,-1,1,1
463,938,938,Vishnu99689720,"New Delhi, India",40,14,2022-11-08 04:27:55+00:00,339,0,unauthorised tea stall cum residence parking place rusted water tanker side wall crematorium sector dwarka request concern authority early action,[],"[{'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [0, 11]}, {'screen_name': 'ce_dda', 'name': 'CE Dwarka DDA', 'id': 1192447787234803713, 'id_str': '1192447787234803713', 'indices': [12, 19]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [20, 30]}, {'screen_name': 'dcp_southwest', 'name': 'DCP South West District', 'id': 973897810406883329, 'id_str': '973897810406883329', 'indices': [31, 45]}, {'screen_name': 'Arun55103347', 'name': 'Arun', 'id': 1321329069338681344, 'id_str': '1321329069338681344', 'indices': [46, 59]}, {'screen_name': 'dharm_kakodia', 'name': 'Dharm Singh kakodia', 'id': 1445784814796230663, 'id_str': '1445784814796230663', 'indices': [60, 74]}, {'screen_name': 'VikramS01999516', 'name': 'Vikram Singh negi', 'id': 1173790902520672259, 'id_str': '1173790902520672259', 'indices': [75, 91]}]",0.1,-0.128,-1,1,-1,1
465,940,940,SSingh93981341,India,36,13,2022-11-08 04:24:25+00:00,689,0,many blurting divisive vote bank politics social stratum based economy poor forward neither money pvt education alt livelihood reservation gov job economic status taken caste status except,[],"[{'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [0, 12]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [279, 292]}]",0.08333333,-0.3182,-1,1,-1,0
471,950,950,s_ilent__touch,"Bengaluru, India",90,16,2022-11-08 04:07:18+00:00,95,0,traveling bgs kjm pls send cleaning person coach becz toilet dirty even coach dirty pls take need full step take strict action cleaning person,[],"[{'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [204, 217]}, {'screen_name': 'IRCTCofficial', 'name': 'IRCTC', 'id': 141176075, 'id_str': '141176075', 'indices': [218, 232]}, {'screen_name': 'PiyushGoyalOffc', 'name': 'Piyush Goyal Office', 'id': 717686709983424513, 'id_str': '717686709983424513', 'indices': [233, 249]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [250, 259]}, {'screen_name': 'RailwaySeva', 'name': 'RailwaySeva', 'id': 945918632642494464, 'id_str': '945918632642494464', 'indices': [260, 272]}]",-0.1566667,-0.6369,-1,-1,-1,1
472,951,951,kvkumargoud,"Hyderabad, India",580,56,2022-11-08 04:05:00+00:00,646,0,dear modi saab yea till today seen color note till black note see till fake team bjp plz mess india people india plz,"[{'text': 'blackmoney', 'indices': [152, 163]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [15, 28]}, {'screen_name': 'KTRTRS', 'name': 'KTR', 'id': 118787224, 'id_str': '118787224', 'indices': [255, 262]}, {'screen_name': 'trspartyonline', 'name': 'TRS Party', 'id': 2375182790, 'id_str': '2375182790', 'indices': [263, 278]}]",-0.2805556,-0.34,-1,-1,-1,0
473,952,952,ShaikMuneerHus2,"Hyderabad, India",338,102,2022-11-08 04:01:30+00:00,2122,1,gujarat stone pelted vande bharat express bearing aimim chief asaduddin owaisi surat window damaged,[],"[{'screen_name': 'ElectionInd', 'name': 'Election India', 'id': 3197010938, 'id_str': '3197010938', 'indices': [112, 124]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [125, 134]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [135, 144]}, {'screen_name': 'rashtrapatibhvn', 'name': 'President of India', 'id': 885487044243238912, 'id_str': '885487044243238912', 'indices': [145, 161]}, {'screen_name': 'CMOGuj', 'name': 'CMO Gujarat', 'id': 765535468104585217, 'id_str': '765535468104585217', 'indices': [162, 169]}, {'screen_name': 'dgpgujarat', 'name': 'DGP Gujarat', 'id': 953531755138437120, 'id_str': '953531755138437120', 'indices': [170, 181]}]",0,-0.4404,-1,0,-1,1
474,953,953,arup28081970,"Preet Vihar, New Delhi",93,54,2022-11-08 04:01:04+00:00,38,0,name shri verma smt raj verma address gagan vihar ugf delhi contact zone yojana vihar area code code issue get regular bill unreasonable huge amount come payment sad,[],"[{'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [0, 14]}, {'screen_name': 'CMODelhi', 'name': 'CMO Delhi', 'id': 1242298980660178951, 'id_str': '1242298980660178951', 'indices': [15, 24]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [25, 40]}, {'screen_name': 'AamAadmiParty', 'name': 'AAP', 'id': 711694309, 'id_str': '711694309', 'indices': [41, 55]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [56, 65]}, {'screen_name': 'BJP4Delhi', 'name': 'BJP Delhi', 'id': 337065278, 'id_str': '337065278', 'indices': [66, 76]}]",-0.0333333,-0.2023,-1,-1,-1,1
